ticket_id,type,organization,comment,coords,photo,photo_after,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity
2024-BZZ3PQ,{ถนน},"เขตพระนคร,การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.)",งานก่อสร้างทั้งถนน ส่งผลถึงร้านค้าและคุณภาพชีวิต,"100.50394,13.75824",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/43517edb07d29485b24e5f387db2d75c77684598.jpg,,519 ถนน พระสุเมรุ แขวงวัดบวรนิเวศ เขตพระนคร กรุงเทพมหานคร 10200 ประเทศไทย,บวรนิเวศ,พระนคร,กรุงเทพมหานคร,2024-03-22 00:45:25.264985+00,กำลังดำเนินการ,,0,2024-03-22 06:02:18.775101+00
2024-P69KF8,{ทางเท้า},"เขตวัฒนา,สำนักการโยธา กทม.",ทางเท้าทุบรอทำใหม่มาเกินสามเดือนแล้วยังไม่เสร็จ ไม่มีคนมาทำต่อ ปล่อยทิ้งไว้นานมาก,"100.58481,13.72342",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/0ef3c742bdc4c5012bfac69eabc2037466a4d2f5.jpg,,555/56 อาคาร เอสเอสพี ทาวเวอร์.1 ชั้น 21 ซ. สุขุมวิท 63 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย,พระโขนงเหนือ,วัฒนา,กรุงเทพมหานคร,2024-03-22 00:43:44.649007+00,กำลังดำเนินการ,,0,2024-03-22 01:09:29.713676+00
2024-NKZBVT,{น้ำท่วม},"เขตคลองสามวา,ฝ่ายโยธา เขตคลองสามวา,พนักงานกวาด เขตคลองสามวา",น้ำเน่าท่วมขังตลอดเวลาครับ  ความสูงระดับข้อเท้า น้ำท่วมมาแล้วมากกว่า 1 สัปดาห์,"100.69858,13.84102",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/6b1df69257a74734eb936a643064025dccb82aea.jpg,,RMRX+98H ถ. สุเหร่าคลองหนึ่ง แขวงบางชัน เขตคลองสามวา กรุงเทพมหานคร 10510 ประเทศไทย,บางชัน,คลองสามวา,กรุงเทพมหานคร,2024-03-22 00:43:44.059642+00,รอรับเรื่อง,,0,2024-03-22 01:12:56.831819+00
2024-BL983L,"{กีดขวาง,ถนน,ทางเท้า}","เขตสายไหม,ฝ่ายเทศกิจ เขตสายไหม",วันนี้ (22 มี.ค. 2567) เวลา 7:19 น. พบรถมอเตอร์ไซค์ทะเบียน 1 กด 4479 ระยอง จอดรถบนทางเท้าหน้าคอนโด The Origin ถนนเทพรักษ์ สร้างความเดือดร้อนให้ผู้ทางเท้าเป็นอย่างมาก,"100.61062,13.88839",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/b79bc70d5c37a287a5df02869cfbb712cec55e8c.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/29debbe81afa19cec8dc9898c8d5aa02.png,46 ถนน เทพรักษ์ แขวง คลองถนน เขตสายไหม กรุงเทพมหานคร 10220 ประเทศไทย,คลองถนน,สายไหม,กรุงเทพมหานคร,2024-03-22 00:39:09.233196+00,กำลังดำเนินการ,,0,2024-03-22 03:41:27.354283+00
2024-FLRU8P,{คนจรจัด},"เขตลาดกระบัง,ฝ่ายเทศกิจ เขตลาดกระบัง,ฝ่ายพัฒนาชุมชนฯ เขตลาดกระบัง",มีคนเร่ร่อนมานอนบนพื้นที่สาธารณะอยากให้เข้ามาช่วยเหลือนำไปรักษา เกรงจะจะมีเหตุไม่ดีเกิดขึ้นกับคนเรร่อนเพราะเป็นผู้หญิง อีกอย่างคือคนเร่ร่อนคนนี้ชอบขโมยจักรยานของประชาชน,"100.72879,13.76250",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/d0fb646c2c241f64c6ad26ce86d92f7d0fa6bfc4.jpg,,45 ถนน เคหะร่มเกล้า แขวงคลองสองต้นนุ่น เขตลาดกระบัง กรุงเทพมหานคร 10520 ประเทศไทย,คลองสองต้นนุ่น,ลาดกระบัง,กรุงเทพมหานคร,2024-03-22 00:35:24.020744+00,รอรับเรื่อง,,0,2024-03-22 02:10:16.238503+00
2024-NMFE6D,"{กีดขวาง,ทางเท้า}",เขตบางเขน,เวลา 7:30 น. พบรถมอเตอร์ไซค์จำนวนอย่างน้อย 2 คัน จอดรถบนทางเท้าบริเวณหน้าโครงการก่อสร้าง ติดกับคอนโด The Base สะพานใหม่ สร้างความเดือดร้อนให้ผู้ใช้ทางเท้าเป็นอย่างมาก พบเห็นทุกวันวันละหลายๆคัน,"100.60454,13.88858",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/d56861e4d028e06c8d830122af94a89511297d5c.jpg,,362 1 แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220 ประเทศไทย,อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,2024-03-22 00:35:08.524527+00,รอรับเรื่อง,,0,2024-03-22 00:35:08.51468+00
2024-KE7HAH,"{กีดขวาง,ทางเท้า}",เขตบางเขน,วันนี้ (22 มี.ค. 2567) เวลา 7:20 น. พบรถมอเตอร์ไซค์ทะเบียน 7 กศ 3404 กทม จอดรถบนทางเท้าบริเวณหน้าคอนโด The Base สะพานใหม่ สร้างความเดือดร้อนให้ผู้ใช้ทางเท้าเป็นอย่างมาก,"100.60422,13.88803",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/c9dae915737a7bbd15bed1a824b1f0cfeebaef04.jpg,,VJQ3+6PQ ถนนพหลโยธิน แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220 ประเทศไทย,อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,2024-03-22 00:29:28.506001+00,รอรับเรื่อง,,0,2024-03-22 00:29:28.495424+00
2024-E9L8GK,{ความสะอาด},"เขตลาดกระบัง,ฝ่ายเทศกิจ เขตลาดกระบัง,ฝ่ายรายได้ เขตลาดกระบัง",ปัญหาการลักลอบทิ้งขยะและเผาขยะ แจ้งไปหลายรอบแล้ว แก้ไม่ได้ซักที,"100.76071,13.77196",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/213e7525f7203260263f89ff01659f833d5dd1e5.jpg,,QQC5+JW4 ร่มเกล้า 19 แยก 6 แขวงคลองสามประเวศ เขตลาดกระบัง กรุงเทพมหานคร 10520 ประเทศไทย,คลองสามประเวศ,ลาดกระบัง,กรุงเทพมหานคร,2024-03-22 00:26:33.263773+00,กำลังดำเนินการ,,0,2024-03-22 02:10:38.752602+00
2024-H4PZLB,{ถนน},"เขตบึงกุ่ม,สน.ลาดพร้าว,สำนักงานตำรวจแห่งชาติ (Royal Thai Police),กองบัญชาการตำรวจนครบาล (บช.น.),กองบังคับการตำรวจนครบาล 4 (บก.น.4)",มีการใช้พื้นที่เกาะกลางถนน มาทำเป็นที่กลับรถของโรงเรียนเอกชน ทั้งๆที่ อีก100 เมตรก็มีที่กลับรถอยู่แล้ว,"100.65056,13.79644",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/5a2f713191430a8788ebd03af6b82bcaa0e0108e.jpg,,70/211 ถนน นวมินทร์ แขวง นวมินทร์ เขต บึงกุ่ม กรุงเทพมหานคร 10230 ประเทศไทย,นวมินทร์,บึงกุ่ม,กรุงเทพมหานคร,2024-03-22 00:25:49.614095+00,กำลังดำเนินการ,,0,2024-03-22 05:09:05.364645+00
2024-LDAT8D,"{ทางเท้า,ความปลอดภัย}","เขตวัฒนา,ฝ่ายโยธา เขตวัฒนา",ที่ปิดปากท่อระบายบนทางเท้าไม่ปลอดภัย มีคนตกได้รับอันตราย,"100.56403,13.74021",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/488a9b7464fa7f6451226586791336bf8afc6146.jpg,,88/3 สุขุมวิท 21 ซอย 1 แขวง คลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย,คลองเตยเหนือ,วัฒนา,กรุงเทพมหานคร,2024-03-22 00:25:30.812874+00,กำลังดำเนินการ,,0,2024-03-22 03:04:32.210173+00
